Disease Term,Id,Description
Dengue,729,"Dengue is a mosquito-borne viral infection causing severe flu-like symptoms, which can develop into a potentially lethal complication called severe dengue."
Acute Kidney Injury,730,"An abrupt or rapid decline in renal function marked by poor filtration in the kidneys, potentially resulting in the build-up of waste products in the bloodstream."
Noonan Syndrome,731,"Noonan Syndrome is a genetic disorder that prevents normal development in various parts of the body, characterized by unique facial features, reduced growth, congenital heart disease, and other physical abnormalities."
Leishmaniasis,732,Leishmaniasis is a parasitic disease spread by the bite of the female sandfly which can vary in severity from ulcers on the skin and damage to the mucous membranes to potentially fatal internal organ damage.
Osteogenesis Imperfecta,733,"Osteogenesis Imperfecta is a genetic disorder characterized by fragile bones that break easily, often from mild trauma or with no apparent cause."
Cholecystitis,734,"Cholecystitis is an inflammation of the gallbladder often caused by gallstones, which results in severe abdominal pain."
Depressive Disorder,735,"Depressive Disorder is a mental health disorder characterized by persistently depressed mood or loss of interest in activities, causing significant impairment in daily life."
Supratentorial Neoplasms,736,"These are abnormal growths or tumors located in the upper part of the brain, above the tentorium cerebelli."
Cerebellar Ataxia,737,"Cerebellar Ataxia is a form of ataxia originating in the cerebellum, characterized by imbalance, lack of coordination or unsteady movements impacting walking, limb movements, and eye movements."
Hypertrophy,738,"Hypertrophy is a condition characterized by the enlargement of an organ or tissue caused by an increase in the size of its cells, not the number, often as a response to stress or damage."
Scoliosis,739,"Scoliosis is a medical condition characterized by an abnormal sideways curvature of the spine, that often develops during puberty."
Erythema,740,"Erythema is a skin condition characterized by redness or rash due to capillary congestion, often in response to injury or inflammation."
Precancerous Conditions,741,These are abnormal changes in certain cells that could potentially lead to cancer if left untreated.
Deficiency Diseases,742,"Deficiency diseases are conditions that arise when the body lacks essential vitamins or minerals, leading to issues such as scurvy from vitamin C deficiency or rickets from vitamin D deficiency."
Synostosis,743,"Synostosis is a condition where two bones that should be separate are fused together, affecting normal growth and development."
"Anemia, Iron-Deficiency",744,"Iron-Deficiency Anemia is a condition resulting from a lack of iron in the body leading to inadequate red blood cell production and oxygen transport, causing symptoms like fatigue, weakness, and pale skin."
Endometrial Neoplasms,745,"These are tumors, either benign or malignant, arising from the lining of the uterus, with potential to cause abnormal uterine bleeding and other pelvic discomfort."
Job's Syndrome,746,"Job's Syndrome is a rare immune disorder, characterized by high levels of specific antibodies in the blood, frequent skin infections, and recurrent lung infections."
Histiocytoma,747,"Histiocytoma is a benign tumor primarily of the skin and subcutaneous tissue, composed predominantly of dendritic cells or histiocytes."
"Shock, Septic",748,It is a life-threatening medical emergency characterized by a profound systemic infection leading to low blood pressure and organ dysfunction.
Lung Injury,749,"Lung injury refers to damage or harm occurring in the lungs, often caused by harmful particles, gases, trauma, or illnesses that leads to difficulty breathing or other respiratory complications."
"Optic Atrophies, Hereditary",750,These are genetic conditions characterized by the progressive degeneration of optic nerve fibers leading to vision loss.
Sleep Disorders,751,"Sleep disorders are conditions that affect the ability to sleep well on a regular basis, often resulting in decreased quality of life due to fatigue and other health effects."
Endometriosis,752,Endometriosis is a painful disorder where tissue similar to that which normally lines the inside of the uterus — the endometrium — grows outside the uterus.
Histiocytosis,753,Histiocytosis is a rare disorder characterized by an abnormal increase in certain immune cells (histiocytes) which can lead to organ damage and tumour formation.
"Tooth Eruption, Ectopic",754,"Ectopic tooth eruption is a dental disorder where a tooth emerges in an abnormal position, often outside of the usual dental arch."
Carcinoma in Situ,755,"Carcinoma in Situ is a condition where abnormal cells are found only in the place where they first formed in the body, and haven't spread to nearby tissues."
Skin Abnormalities,756,"Skin Abnormalities are irregular deviations on the skin's surface including color changes, growths, rough patches, or unusual textures."
"Spherocytosis, Hereditary",757,"Hereditary spherocytosis is a genetic condition characterized by anemia, jaundice, and an enlarged spleen due to the production of abnormally shaped red blood cells."
"Diabetes Mellitus, Type 1",758,Type 1 Diabetes Mellitus is an autoimmune disorder where the body's immune system erroneously attacks and destroys insulin-producing pancreatic beta cells leading to high blood glucose levels.
Dysarthria,759,"Dysarthria is a motor speech disorder that results in the muscles involved in producing speech becoming weak or difficult to control, leading to slurred or slow speech that can be hard to understand."
"Diabetes Mellitus, Type 2",760,"This is a metabolic disorder characterized by high blood sugar, insulin resistance, and relative lack of insulin, often resulting from obesity and lack of exercise."
alpha-Thalassemia,761,"Alpha-Thalassemia is a blood disorder characterized by less than normal and often insufficient production of hemoglobin protein, the essential component of red blood cells."
Prenatal Exposure Delayed Effects,762,"This is a series of physical, mental, or behavioral abnormalities or deficiencies that manifest due to exposure to certain factors like drugs, chemicals, infections or physiological stressors during pregnancy."
"Hyperostosis, Cortical, Congenital",763,"This is a rare genetic disorder characterized by increased bone density which primarily affects the long bones and skull leading to a range of symptoms such as facial palsy, hearing loss, and limb deformities."
von Willebrand Diseases,764,"It's a genetic disorder that affects the blood's ability to clot, generally resulting in prolonged bleeding times following injury or surgery."
"Genital Neoplasms, Female",765,"Genital Neoplasms, Female refers to abnormal growths in the female reproductive system, which can be benign (non-cancerous) or malignant (cancerous)."
Asbestosis,766,"Asbestosis is a chronic lung disease caused by inhaling asbestos fibers, leading to scarring of the lung tissues and hindered breathing."
Peroxisomal Disorders,767,"Peroxisomal Disorders are a group of rare, genetic diseases primarily affecting the nervous system, vision, and the liver, that occur due to the dysfunction in peroxisomes (cell components that break down fatty acids and toxic substances to prevent damage to cells)."
Abdominal Neoplasms,768,"Abdominal Neoplasms are abnormal growths in the abdominal region, which can be benign (non-cancerous) or malignant (cancerous) and affect various organs like the stomach, liver, pancreas, or intestines."
Intracranial Aneurysm,769,"It's a weakened area in the wall of a blood vessel in the brain, which causes it to expand or balloon out, potentially leading to deadly bleeding if it bursts."
"Death, Sudden",770,"It refers to an unexpected fatality that occurs within one hour of symptom onset, typically due to cardiovascular issues."
Hyperventilation,771,"Hyperventilation is a condition where an individual breathes rapidly, leading to a decrease in the level of carbon dioxide in the blood."
Adenocarcinoma,772,"Adenocarcinoma is a type of cancer that originates in glandular tissues, which line certain internal organs and produce and secrete substances into the body."
"Dwarfism, Pituitary",773,Pituitary dwarfism is a condition characterized by a significantly less-than-average height due to a deficiency of growth hormone produced by the pituitary gland.
"Metabolism, Inborn Errors",774,"Inborn errors of metabolism are a group of rare genetic disorders in which the body cannot properly turn food into energy, often due to defects in specific proteins that help metabolize (break down or convert) parts of food."
Orthostatic Intolerance,775,"Orthostatic Intolerance is a condition characterized by lightheadedness, fainting, and rapid heartbeat that happens upon standing."
"Hernia, Inguinal",776,"Inguinal Hernia is a condition where part of the intestine bulges through a weak spot in the abdominal muscles, often causing groin pain and discomfort."
Folliculitis,777,Folliculitis is an inflammation or infection of the hair follicles that results in skin blemishes or boils.
Bacteremia,778,"Bacteremia is a medical condition characterized by the presence of bacteria in the bloodstream, which can lead to severe infections."
"Obesity, Morbid",779,"Morbid Obesity is a severe form of obesity characterized by being 100 lbs or more over ideal body weight or having a Body Mass Index (BMI) of 40 or higher, often leading to serious health conditions like heart disease, diabetes and high blood pressure."
Opisthorchiasis,780,"Opisthorchiasis is a parasitic disease caused by species from the Opisthorchis genus, typically contracted from ingesting undercooked or raw fish, causing symptoms like fever, fatigue, and hepatobiliary complications."
Drug Toxicity,781,"It is a harmful effect on the body due to overexposure or ingestion of a drug or medication, leading to possible organ damage, severe health problems or death."
Nephrolithiasis,782,"Nephrolithiasis is a medical condition characterized by the formation of hard, crystalline mineral materials, or kidney stones, within the kidney or urinary tract."
Mucopolysaccharidosis II,783,"Mucopolysaccharidosis II, also known as Hunter syndrome, is a rare, inherited metabolic disorder where the body lacks or doesn't have enough of an enzyme needed to break down and recycle complex molecules, leading to a range of symptoms including growth delays, joint stiffness, and heart problems."
Avitaminosis,784,"Avitaminosis is a medical condition that arises from a deficiency of vitamins in the body, leading to associated health issues."
"Sleep Apnea, Obstructive",785,"Obstructive Sleep Apnea is a chronic condition characterized by repetitive episodes of upper airway obstruction that occur during sleep, often resulting in reduction in blood oxygen saturation and disrupted sleep."
Malaria,786,"Malaria is a life-threatening disease caused by parasites that are transmitted to humans through the bites of infected female Anopheles mosquitoes, characterized by high fevers, shaking chills, flu-like symptoms, and anemia."
Congenital Disorders of Glycosylation,787,"These are a group of rare genetic metabolic disorders in which glycoproteins and glycolipids are improperly formed, leading to severe neurological and developmental deficits in the affected individual."
Intestinal Perforation,788,"Intestinal Perforation is a severe condition characterized by a hole or tear in the wall of the gut, allowing its contents to leak into the abdominal area potentially causing severe infections and complications."
Stomach Diseases,789,"Stomach diseases encompass a range of conditions such as gastritis, peptic ulcers, stomach flu or gastroparesis that affect the organ's function by causing symptoms like pain, bloating, heartburn and nausea."
Mucopolysaccharidosis IV,790,"Mucopolysaccharidosis IV, also known as Morquio syndrome, is a rare genetic disorder characterized by an enzyme deficiency leading to an accumulation of certain complex carbohydrates and resultant skeletal abnormalities."
Refsum Disease,791,"Refsum Disease is a rare genetic disorder characterized by impaired nerve function, weakness and numbness in the limbs, and potentially severe vision loss."
Ovarian Hyperstimulation Syndrome,792,"A condition resulting from excessive stimulation of the ovaries, commonly due to fertility treatments, characterized by symptoms such as abdominal pain, bloating, nausea, and rapid weight gain."
Lactose Intolerance,793,"It is a digestive disorder where the body is unable to fully digest lactose, a sugar found in milk and dairy products."
Hypokinesia,794,"Hypokinesia is characterized by decreased bodily movement due to a disorder in the nervous system, often related to conditions such as Parkinson's disease."
Ovarian Neoplasms,795,"These are abnormal growths, either benign or malignant, that form in the ovary tissue, with potential to interfere with the normal function of the ovaries."
Fanconi Anemia,796,"Fanconi Anemia is a rare and inherited blood disorder that leads to bone marrow failure, preventing the body from producing enough new blood cells."
Panic Disorder,797,Panic Disorder is a type of anxiety disorder characterized by recurring unexpected panic attacks and fear of experiencing more.
"Liver Diseases, Alcoholic",798,"Alcoholic liver diseases are a range of conditions and injuries in the liver caused by heavy and prolonged consumption of alcohol, including fatty liver, hepatitis, and cirrhosis."
Aphakia,799,"Aphakia is a condition characterised by the absence of the lens in the eye, often due to surgical removal for cataract treatment."
Chromosome Aberrations,800,"Chromosome Aberrations refer to structural alterations or irregularities in the chromosome like deletions, duplications, inversions or translocations that affect normal gene function and may lead to serious genetic disorders."
Hypobetalipoproteinemias,801,"Hypobetalipoproteinemias are a group of rare inherited metabolic disorders manifesting as abnormally low levels of a specific type of cholesterol, leading to potential neurological symptoms such as balance issues or cognitive impairment."
Vaginal Neoplasms,802,"These are abnormal growths in the vagina, which can either be benign or malignant and often present symptoms like abnormal vaginal bleeding, pelvic pain, and vaginal discharge."
Severe Combined Immunodeficiency,803,"Severe Combined Immunodeficiency is a potentially fatal primary immunodeficiency disorder characterized by a significant defects in both T- and B-lymphocyte systems, causing the immune system to severely damage or not function entirely."
Cough,804,A cough is a common reflex action that clears the throat of mucus or foreign irritants and can occur in conjunction with multiple upper respiratory tract and systemic illnesses.
"Anemia, Hemolytic",805,A condition resulting from insufficient red blood cells in the body due to their abnormal breakdown.
Calcinosis,806,Calcinosis is a condition characterized by accumulation of calcium salt crystals in various body tissues causing discomfort and potentially impairing function.
Hepatitis,807,"Hepatitis is an inflammation of the liver often caused by a viral infection, with five main types identified namely A, B, C, D and E."
Liddle Syndrome,808,"Liddle Syndrome is a rare genetic disorder characterized by early and severe high blood pressure, often beginning in childhood, and potentially leading to serious health problems, such as heart disease and stroke."
Erectile Dysfunction,809,Erectile Dysfunction is a male sexual disorder characterized by the inability to obtain and maintain an erection sufficient for successful sexual intercourse.
Protein S Deficiency,810,Protein S Deficiency is a genetic disorder causing abnormal blood clotting due to lack of a protein that prevents clots from forming excessively.
Thrombasthenia,811,"Thrombasthenia is a rare genetic disorder causing improper platelet aggregation, leading to increased bleeding and bruising due to a lack of or dysfunctional glycoprotein in the blood platelets."
Uterine Neoplasms,812,"These are tumors, either benign or malignant, that arise from the tissue of the uterus, potentially affecting fertility and causing symptoms such as abnormal vaginal bleeding and pelvic pain."
Syndactyly,813,Syndactyly is a congenital developmental disorder characterized by the fusion of two or more fingers or toes.
Severe Acute Respiratory Syndrome,814,"It's a highly contagious and potentially life-threatening viral illness marked by severe respiratory symptoms, fever, and cough, often leading to pneumonia."
Pituitary Diseases,815,"Pituitary diseases are disorders affecting the pituitary gland, often disrupting hormone production and leading to a multitude of physical and psychological symptoms ranging from growth and fertility issues to impaired stress responses."
Hypophosphatasia,816,Hypophosphatasia is a rare genetic disorder characterized by the abnormal development of bones and teeth due to deficient levels of an enzyme called alkaline phosphatase.
Hyperuricemia,817,"Hyperuricemia is a health condition characterized by an excessive amount of uric acid in the blood, which can lead to gout and kidney stones."
Retinal Degeneration,818,"This is a progressive and irreversible medical condition characterized by the gradual deterioration of the retina's light-sensing cells, leading to vision impairment or blindness."
Inflammation,819,"Inflammation is the body's response to harmful stimuli such as pathogens, damaged cells, or irritants, resulting in redness, heat, swelling, and pain in the affected area."
Lymphedema,820,"Lymphedema is a long-term condition characterized by swelling in the body's tissues, often in an arm or leg, due to damage or removal of parts of the lymphatic system."
Coronary Artery Disease,821,"This is a condition characterized by damage or disease in the heart's major blood vessels due to plaque buildup that can lead to chest pain, shortness of breath, and other symptoms."
Pick Disease of the Brain,822,"Pick Disease of the Brain is a rare form of progressive dementia characterized by changes in personality, deteriorating memory and language skills, and presence of Pick bodies (abnormal structures found in brain cells)."
Oral Ulcer,823,"An oral ulcer is a painful sore that appears in the mouth, often associated with conditions such as viral infections, vitamin deficiency, or autoimmune diseases."
Fatty Liver,824,Fatty Liver is a condition characterized by the build-up of excess fat in the liver cells often related to excessive alcohol intake or obesity.
Camurati-Engelmann Syndrome,825,"Camurati-Engelmann Syndrome is a genetic disorder characterized primarily by abnormalities of the bones, resulting in pain, multiple bone dysplasia, muscular weakness and a characteristic waddling gait."
AIDS-Related Opportunistic Infections,826,These are infections that occur more frequently and are more severe in individuals with weakened immune systems due to AIDS.
"Eye Diseases, Hereditary",827,"These are genetic conditions passed down through families that result in visual impairment or loss due to defects or damage to parts of the eye, such as the retina, cornea, or optic nerve."
Barrett Esophagus,828,"Barrett Esophagus is a condition characterized by abnormal change in the cells of the lower esophagus, due to repeated exposure to stomach acid, often resulting from chronic gastroesophageal reflux disease (GERD)."
Low Tension Glaucoma,829,"A condition causing optic nerve damage and potentially loss of vision, characterized by normal eye pressure but a higher sensitivity to it."
Wolff-Parkinson-White Syndrome,830,Wolff-Parkinson-White Syndrome is a condition characterized by rapid heartbeat due to an abnormal extra electrical pathway in the heart.
Heart Diseases,831,"These are conditions that involve narrowed or blocked blood vessels, leading to heart attacks, chest pain (angina) or stroke, and problems with heart rhythm, heart valves, and heart muscle."
Proteus Syndrome,832,"Proteus Syndrome is a rare genetic condition characterized by overgrowth of the bones, skin, and other tissues, resulting in abnormal growth patterns and differences in size of various parts of the body."
Entamoebiasis,833,"Entamoebiasis is an infection of the intestines caused by a parasite called Entamoeba histolytica, leading to symptoms such as diarrhea, stomach pain, and possibly liver abscesses."
Cognition Disorders,834,"Cognition disorders are a category of mental health disorders that primarily affect learning, memory, perception, and problem-solving, and include amnesia, dementia, and delirium."
Neutropenia,835,"Neutropenia is a health condition characterized by an abnormally low number of neutrophils, a type of white blood cell that helps the body fight off infections, particularly those caused by bacteria and fungi."
"Albinism, Oculocutaneous",836,"Oculocutaneous Albinism is a genetic disorder characterized by a lack of melanin pigment in the skin, hair, and eyes, which leads to vision problems and increases the risk of skin cancer."
Pulmonary Embolism,837,"Pulmonary embolism is a life-threatening condition that occurs when a blood clot travels to the lungs, blocking blood flow and often leading to lung damage or death."
Lymphatic Metastasis,838,Lymphatic metastasis is the spread of cancer cells from their original site to lymph nodes through the lymphatic system.
Myositis,839,"Myositis is an inflammatory disease leading to muscle weakness, swelling, and pain due to damage in muscle tissues."
Vertebral Artery Dissection,840,"It is a condition characterized by a tear in the inner lining of the vertebral artery, which can lead to blood clot formation and potentially result in a stroke."
Optic Neuritis,841,"It's an inflammation of the optic nerve that can cause vision loss, pain with eye movement, and impairment of color vision."
"Leukemia-Lymphoma, Adult T-Cell",842,"Adult T-Cell Leukemia-Lymphoma is an aggressive type of cancer that affects the T-cells of the immune system, mainly caused by a virus known as the Human T-lymphotropic virus type 1 (HTLV-1)."
Uterine Diseases,843,"Uterine diseases are disorders affecting the uterus, including but not limited to endometriosis, fibroids, cancer, and polycystic ovarian syndrome, that can lead to symptoms such as abnormal bleeding, pain, and fertility issues."
Lymphatic Diseases,844,"These are disorders that affect the lymphatic system, a part of the immune system responsible for maintaining fluid balance in the body and defense against infections."
Female Urogenital Diseases,845,"These are disorders that affect the female urinary system and the reproductive organs such as bladder, kidneys, uterus, ovaries, and the fallopian tubes."
Wegener Granulomatosis,846,"Wegener Granulomatosis, also known as Granulomatosis with polyangiitis, is a rare type of autoimmune disease that causes inflammation of blood vessels, primarily affecting the lungs, kidneys, and sinuses."
Skin Ulcer,847,A skin ulcer is a type of open wound that develops on the skin surface or mucous membranes and is characterized by tissue breakdown and loss.
Osteolysis,848,Osteolysis is a condition characterized by the loss of bone mass due to the acceleration of the natural process of bone resorption.
Tongue Neoplasms,849,"These are abnormal growths or tumors that develop on the tongue, which can be benign (non-cancerous) or malignant (cancerous)."
Seminoma,850,"Seminoma is a type of testicular cancer that originates from the germ cells, which produce sperm."
Psychomotor Agitation,851,"This is a symptom usually associated with severe mood disorders and characterized by purposeless and restless activity such as pacing, talking rapidly, and hand wringing."
"Hypophosphatemic Rickets, X-Linked Dominant",852,"This is a genetically-inherited disorder characterized by low levels of phosphate in the blood, leading to weak, soft bones and commonly resulting in skeletal deformities and growth retardation."
Coxsackievirus Infections,853,"These are a collection of viral infections that can cause symptoms such as fever, muscle aches, and, in severe cases, inflammation of the heart or brain."
"Arthritis, Juvenile Rheumatoid",854,Juvenile Rheumatoid Arthritis is an autoimmune disorder that causes inflammation and stiffness in joints for children aged 16 and under.
Thrombosis,855,"Thrombosis is a medical condition characterized by blood clot formation within a blood vessel, obstructing the flow of blood through the circulatory system."
Gonadal Dysgenesis,856,"Gonadal dysgenesis is a congenital developmental disorder of the reproductive system characterized by underdeveloped or abnormal gonads, often leading to infertility and hormonal imbalance."
"Abnormalities, Drug-Induced",857,These are physical or functional abnormalities that are caused by the adverse effects of medication or drug misuse.
Myocardial Reperfusion Injury,858,This condition involves damage to heart tissue caused by the restoration of blood flow (reperfusion) to the area after being deprived of oxygen due to an obstruction (ischemia).
Nail Diseases,859,"Nail diseases are abnormalities or disorders that affect the nails, often indicating systemic problems, characterized by changes in color, shape, thickness, or health conditions like infections and tumors."
Varicose Veins,860,"Varicose veins are enlarged, swollen, and twisting veins, often appearing blue or dark purple, that occur when faulty valves in the veins allow blood to flow in the wrong direction or to pool."
Vocal Cord Paralysis,861,"Vocal Cord Paralysis is a voice disorder that occurs when one or both vocal cords cannot move, leading to voice changes, breathing problems, and swallowing difficulties."
Hemiplegia,862,"Hemiplegia is a condition characterized by paralysis or severe weakness on one vertical half of the body, commonly caused by stroke, brain injuries, or illnesses affecting nervous system."
Acrocallosal Syndrome,863,"Acrocallosal Syndrome is a rare genetic disorder characterized by agenesis or hypoplasia of the corpus callosum, duplication of the hallux (big toe), mental retardation, and motor development delay."
Diabetes Mellitus,864,A chronic condition characterized by high levels of sugar (glucose) in the blood due to the body's inability to produce or utilize insulin effectively.
Heart Arrest,865,"Heart Arrest is a sudden cessation of the heart's functioning, leading to a stop in blood flow and a lack of oxygen supply to the body which requires immediate medical attention."
Facial Nerve Diseases,866,"These are disorders that result in abnormal function and structure of the seventh cranial nerve or the facial nerve, leading to conditions like facial palsy, facial spasms and other related conditions."
"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",867,"This is a slow-growing blood and bone marrow cancer where too many white blood cells are produced, often caused by a gene mutation called BCR-ABL."
"Epilepsy, Temporal Lobe",868,"Temporal lobe epilepsy is a chronic neurological disorder characterized by recurrent, unprovoked seizures originating in the brain's temporal lobe."
"Infertility, Male",869,"Male infertility refers to a man's inability to cause pregnancy in a fertile female, typically due to low sperm count, abnormal sperm function, or blockages that prevent the delivery of sperm."
"Hypertension, Renal",870,Renal hypertension is a condition characterized by elevated blood pressure due to damage to the kidneys or narrowing of the arteries that deliver blood to the kidneys.
Craniosynostoses,871,"Craniosynostoses is a birth defect condition where one or more of the joints between the bones of a baby's skull close prematurely, before the infant's brain fully forms, causing abnormal head shape and potentially restricting brain growth."
MELAS Syndrome,872,"MELAS Syndrome is a rare genetic disorder causing a range of symptoms such as seizures, migraines, and strokes, typically presenting in childhood due to faulty mitochondria in the body's cells."
Machado-Joseph Disease,873,"Machado-Joseph Disease is a rare, inherited neurodegenerative disorder characterized by progressively worsening muscle weakness and coordination, as well as other neurological symptoms."
Cholelithiasis,874,Cholelithiasis is a condition characterized by the formation of gallstones in the gallbladder or bile ducts.
Periodontitis,875,Periodontitis is a serious gum infection that damages the soft tissue and destroys the bone that supports your teeth.
"Hypotension, Orthostatic",876,"This is a form of low blood pressure that occurs when you stand up from sitting or lying down, causing symptoms like dizziness or lightheadedness."
Ovarian Diseases,877,"Ovarian diseases are disorders that directly affect the ovaries, often impacting fertility, hormonal balance, or menstrual cycle, and include conditions like polycystic ovary syndrome (PCOS), ovarian cysts, and ovarian cancer."
"Heart Septal Defects, Atrial",878,"Atrial Septal Defects (ASD) is a congenital condition characterized by an opening in the wall separating the two upper chambers of the heart, allowing abnormal flow of blood between them."
Hirschsprung Disease,879,"Hirschsprung disease is a congenital disorder characterized by the absence of nerve cells in segments of the intestine, leading to difficulties in passing stool."
Melanoma,880,Melanoma is a severe type of skin cancer that develops from the pigment-producing cells known as melanocytes.
Pulmonary Veno-Occlusive Disease,881,"This is a rare lung disorder characterized by blockage of the small veins in the lungs leading to high blood pressure in the lung arteries, and eventually heart failure."
Kidney Neoplasms,882,"Kidney Neoplasms are abnormal growths or tumors in the kidney, which can be benign (non-cancerous) or malignant (cancerous)."
Telangiectasis,883,"Telangiectasis is a condition characterized by widened venules (tiny blood vessels) causing threadlike red lines or patterns on the skin that, if pressured, blanch."
Neuronal Ceroid-Lipofuscinoses,884,"A group of inherited neurodegenerative disorders characterized by the accumulation of a certain type of lipid, or fat, and proteins in various cells and tissues including the brain, leading to symptoms such as seizures, muscle stiffness, visual loss and cognitive decline."
Corneal Diseases,885,"Corneal diseases refer to a variety of conditions that affect the cornea, including infections, degenerations and many types of corneal dystrophy, which can cause visual distortion or loss."
Hypogonadism,886,"Hypogonadism is a condition in which the body doesn't produce enough sex hormones - testosterone in males and estrogen and progesterone in females - potentially leading to delayed or absent puberty and sexual development, and in adults, sexual difficulties, infertility, and other physical and mental health problems."
"Carbohydrate Metabolism, Inborn Errors",887,"This disease is a group of genetic disorders that affect the body's ability to metabolize dietary carbohydrates into glucose for energy, often leading to an array of symptoms like organ damage, intellectual disability, and growth problems."
"Anus, Imperforate",888,"It is a birth defect where the rectum is malformed, resulting in an absent or blocked anal opening."
Polydactyly,889,Polydactyly is a congenital physical anomaly characterized by the presence of more than the typical number of digits on hands and/or feet.
Venous Thrombosis,890,"Venous Thrombosis is a condition characterized by the formation of blood clots in the veins, usually in the deep veins of the legs or pelvis, restricting blood flow."
Hyperostosis,891,"Hyperostosis is a condition marked by excessive growth of bone tissue, often resulting in abnormal stiffness and immobility of the affected joint or region."
Cushing Syndrome,892,"An endocrine disorder characterized by high levels of the hormone cortisol in the body, leading to symptoms such as weight gain, round face, purple stretch marks, and a hump between the shoulders."
"Hypophosphatemia, Familial",893,"A hereditary disorder characterized by low levels of phosphate in the blood, leading to muscle weakness, bone pain, and developmental issues."
Olivopontocerebellar Atrophies,894,This is a progressive condition that affects balance and movement due to the degradation of nerve tissues in specific areas of the brain.
Bronchial Hyperreactivity,895,"Bronchial Hyperreactivity refers to an unusual increase in the sensitivity and irritability of the bronchi and bronchioles (the air passages in the lungs) to various types of stimuli, leading to excessive narrowing or constriction."
Bile Duct Neoplasms,896,"These are anomalous, often malignant growths that occur within the tubes (bile ducts) that transport digestive fluids from the liver and gallbladder to the small intestine."
"Myopathies, Nemaline",897,"Nemaline Myopathies are a group of hereditary disorders characterized by muscle weakness, usually starting in early childhood, with visible rod-like structures (nemaline bodies) in muscle tissue on microscopic examination."
Prostatic Intraepithelial Neoplasia,898,"It's a condition characterized by abnormal growth of cells within the prostate gland, often considered as a precursor to prostate cancer."
Blindness,899,"A condition characterized by the inability to see, ranging from partial vision loss to total absence of visual perception due to damage or dysfunction in certain parts of the eye or brain."
Alcoholism,900,"Alcoholism is a chronic, progressive disease characterized by an inability to control or stop drinking despite negative health, social, or work impacts, often accompanied by physical dependency."
Medulloblastoma,901,"Medulloblastoma is a malignant, fast-growing brain tumor predominantly occurring in children and located in the cerebellum, the lower rear part of the brain that controls balance and coordination."
Respiratory Hypersensitivity,902,"This is a condition where the body's immune system overreacts to certain substances breathed in through the air, leading to inflammation and breathing difficulties."
Mevalonate Kinase Deficiency,903,"It is a rare genetic metabolic disorder characterized by a deficiency in the enzyme mevalonate kinase, resulting in complications like periodic fever, abdominal pain, joint pain, and in severe cases, developmental delay and failure to thrive."
"Lymphoma, Mantle-Cell",904,Mantle-Cell Lymphoma is a rare form of non-Hodgkin lymphoma characterized by the abnormal proliferation of B-cells in the mantle zone of lymph nodes.
Diabetic Angiopathies,905,Diabetic Angiopathies are vascular diseases caused by chronic high blood glucose levels that lead to damage in the blood vessel walls.
Prostatic Hyperplasia,906,"Prostatic Hyperplasia is a medical condition where the prostate gland increases in size, leading to problems with urination in men, typically aging men."
Xeroderma Pigmentosum,907,"Xeroderma Pigmentosum is a rare genetic disorder characterized by extreme sensitivity to ultraviolet (UV) sun rays, causing skin abnormalities such as sunburn, pigment changes, and a high risk of skin cancers."
Cervical Intraepithelial Neoplasia,908,"This is a precancerous condition in which abnormal cell changes occur on the surface of the cervix, potentially progressing to cervical cancer if left untreated."
Proteinuria,909,"Proteinuria is a condition characterized by an abnormal amount of protein, particularly albumin, in the urine, often indicating kidney damage or disease."
Amphetamine-Related Disorders,910,"These disorders are characterized by misuse or dependency on amphetamines, which can lead to physical, social, or psychological harm."
"Rhinitis, Allergic, Seasonal",911,"Seasonal Allergic Rhinitis, often referred to as hay fever, is an allergic reaction to environmental allergens such as pollen, typically resulting in a runny nose, itchy eyes, sneezing, and other similar symptoms."
"Hypersensitivity, Immediate",912,"Immediate hypersensitivity is a rapid allergic reaction due to antigen exposure triggering an immune response in the body, often resulting in symptoms like itching, inflammation, and anaphylaxis."
Brucellosis,913,"Brucellosis is a bacterial infection caught from animals, such as goats, cows, and pigs, causing symptoms such as fever, joint pain, and fatigue."
Pterygium,914,"Pterygium is an abnormal growth of tissue on the conjunctiva (the clear tissue that covers the white part of the eye) that extends over the cornea (the clear front surface of the eye), often caused by excessive exposure to sunlight and dust."
"Hemangioma, Cavernous, Central Nervous System",915,"This is a benign vascular tumor characterized by a blood-filled, sponge-like mass typically located in the cerebrum, cerebellum, or spinal cord."
"Puberty, Precocious",916,Precocious puberty is a condition that induces early onset of physical changes of sexual maturation in children - under the age of 8 in girls and 9 in boys.
"Cardiomyopathy, Dilated",917,"This is a disease of the heart muscle primarily affecting the heart's main pumping chamber (left ventricle) causing it to enlarge (dilate) and weaken, which reduces the heart's ability to pump blood effectively."
Glucosephosphate Dehydrogenase Deficiency,918,"It's an inherited disorder that causes red blood cells to break down prematurely, often resulting in symptoms like jaundice and anemia."
Myocardial Infarction,919,"It is a condition characterized by blockage of blood flow to the heart muscle, often resulting in chest pain and cardiac tissue damage or death."
Staphylococcal Skin Infections,920,"These are types of infections caused by Staphylococcus bacteria that manifests as red, swollen and painful skin conditions, such as boils or cellulitis, often pus-filled and localized at the hair follicles or skin glands."
Cleft Palate,921,"A congenital deformity caused by a non-fusion of the body's natural structures that form the palate, causing a gap in the roof of the mouth that can impact speech, hearing, and feeding."
